Q6GQT1,A2m,ENSMUSG00000030111
O88816,Aanat,ENSMUSG00000020804
P09470,Ace,ENSMUSG00000020681
O35598,Adam10,ENSMUSG00000054693
Q61824,Adam12,ENSMUSG00000054555
O88839,Adam15,ENSMUSG00000028041
Q9Z0F8,Adam17,ENSMUSG00000052593
Q60718,Adam2,ENSMUSG00000022039
Q9R1V7,Adam23,ENSMUSG00000025964
Q9JLN6,Adam28,ENSMUSG00000014725
Q61072,Adam9,ENSMUSG00000031555
O70176,Adcyap1,ENSMUSG00000024256
Q60994,Adipoq,ENSMUSG00000022878
P97297,Adm,ENSMUSG00000030790
Q7TNK8,Adm2,ENSMUSG00000054136
A2ASQ1,Agrn,ENSMUSG00000041936
P56473,Agrp,ENSMUSG00000005705
Q3UTR7,Agt,ENSMUSG00000031980
P29699,Ahsg,ENSMUSG00000022868
P07724,Alb,ENSMUSG00000029368
Q5EC55,Amh,ENSMUSG00000035262
O08538,Angpt1,ENSMUSG00000022309
O35608,Angpt2,ENSMUSG00000031465
Q9WVH6,Angpt4,ENSMUSG00000027460
Q640P2,Angptl1,ENSMUSG00000033544
Q9R045,Angptl2,ENSMUSG00000004105
Q9R182,Angptl3,ENSMUSG00000028553
Q9Z1P8,Angptl4,ENSMUSG00000002289
P10107,Anxa1,ENSMUSG00000024659
Q9R0R4,Apln,ENSMUSG00000037010
E9Q414,Apob,ENSMUSG00000020609
A0A0R4J1N3,Apoc3,ENSMUSG00000032081
P51910,Apod,ENSMUSG00000022548
P08226,Apoe,ENSMUSG00000002985
P12023,App,ENSMUSG00000022892
P31955,Areg,ENSMUSG00000029378
P84078,Arf1,ENSMUSG00000048076
Q9Z0L2,Artn,ENSMUSG00000028539
Q03288,a,ENSMUSG00000027596
P35455,Avp,ENSMUSG00000037727
Q64726,Azgp1,ENSMUSG00000037053
P01887,B2m,ENSMUSG00000060802
Q61361,Bcan,ENSMUSG00000004892
P21237,Bdnf,ENSMUSG00000048482
P28653,Bgn,ENSMUSG00000031375
Q9R229,Bmp10,ENSMUSG00000030046
Q9Z0L4,Bmp15,ENSMUSG00000023279
P21274,Bmp2,ENSMUSG00000027358
Q8BHE5,Bmp3,ENSMUSG00000029335
P21275,Bmp4,ENSMUSG00000021835
P49003,Bmp5,ENSMUSG00000032179
P20722,Bmp6,ENSMUSG00000039004
P23359,Bmp7,ENSMUSG00000008999
A0A0R4J190,Bst1,ENSMUSG00000029082
Q05928,Btc,ENSMUSG00000082361
E9QNY6,Btla,ENSMUSG00000052013
Q3TQQ9,BC055324,ENSMUSG00000041406
Q9DAD0,1700013F07Rik,ENSMUSG00000027886
P98086,C1qa,ENSMUSG00000036887
P14106,C1qb,ENSMUSG00000036905
Q9QXP7,C1qtnf1,ENSMUSG00000017446
Q8K479,C1qtnf5,ENSMUSG00000079592
P01027,C3,ENSMUSG00000024164
P08607,C4bp,ENSMUSG00000026405
P06684,Hc,ENSMUSG00000026874
Q8BM15,2300002M23Rik,ENSMUSG00000039269
P70160,Calca,ENSMUSG00000030669
Q3UW96,Calcb,ENSMUSG00000030666
P14211,Calr,ENSMUSG00000003814
P51437,Camp,ENSMUSG00000038357
P09240,Cck,ENSMUSG00000032532
P10146,Ccl1,ENSMUSG00000020702
P48298,Ccl11,ENSMUSG00000020676
F6R5P4,Ccl17,ENSMUSG00000031780
P10148,Ccl2,ENSMUSG00000035385
O89093,Ccl20,ENSMUSG00000026166
O88430,Ccl22,ENSMUSG00000031779
Q9JKC0,Ccl24,ENSMUSG00000004814
O35903,Ccl25,ENSMUSG00000023235
F8VQM2,Ccl26,ENSMUSG00000070464
Q9JIL2,Ccl28,ENSMUSG00000074715
P14097,Ccl4,ENSMUSG00000018930
P30882,Ccl5,ENSMUSG00000035042
Q03366,Ccl7,ENSMUSG00000035373
P10810,Cd14,ENSMUSG00000051439
P24807,Cd24a,ENSMUSG00000047139
Q64314,Cd34,ENSMUSG00000016494
P27548,Cd40lg,ENSMUSG00000031132
Q9QWK4,Cd5l,ENSMUSG00000015854
O55237,Cd70,ENSMUSG00000019489
A0A0R4IZW5,Cdh1,ENSMUSG00000000303
Q64285,Cel,ENSMUSG00000026818
P01216,Cga,ENSMUSG00000028298
A0A5F8MPT6,Cgn,ENSMUSG00000068876
O55226,Chad,ENSMUSG00000039084
Q9QZM3,Clcf1,ENSMUSG00000040663
O88200,Clec11a,ENSMUSG00000004473
P51642,Cntf,ENSMUSG00000079415
Q61330,Cntn2,ENSMUSG00000053024
Q69Z26,Cntn4,ENSMUSG00000064293
Q61245,Col11a1,ENSMUSG00000027966
Q80X19,Col14a1,ENSMUSG00000022371
P39061,Col18a1,ENSMUSG00000001435
P11087,Col1a1,ENSMUSG00000001506
Q01149,Col1a2,ENSMUSG00000029661
P28481,Col2a1,ENSMUSG00000022483
P08121,Col3a1,ENSMUSG00000026043
P02463,Col4a1,ENSMUSG00000031502
P08122,Col4a2,ENSMUSG00000031503
Q9QZS0,Col4a3,ENSMUSG00000079465
Q9QZR9,Col4a4,ENSMUSG00000067158
Q63ZW6,Col4a5,ENSMUSG00000031274
B1AVK5,Col4a6,ENSMUSG00000031273
O88207,Col5a1,ENSMUSG00000026837
Q3U962,Col5a2,ENSMUSG00000026042
Q9JLI2,Col5a3,ENSMUSG00000004098
Q04857,Col6a1,ENSMUSG00000001119
Q02788,Col6a2,ENSMUSG00000020241
E9PWQ3,Col6a3,ENSMUSG00000048126
Q63870,Col7a1,ENSMUSG00000025650
Q00780,Col8a1,ENSMUSG00000068196
Q9D0D2,Col9a1,ENSMUSG00000026147
I7HJR1,Col9a2,ENSMUSG00000028626
A2ACT7,Col9a3,ENSMUSG00000027570
O35348,Colq,ENSMUSG00000057606
P56469,Cort,ENSMUSG00000028971
Q61147,Cp,ENSMUSG00000003617
Q8CIT0,Crh,ENSMUSG00000049796
P14847,Crp,ENSMUSG00000037942
P07141,Csf1,ENSMUSG00000014599
P01587,Csf2,ENSMUSG00000018916
P09920,Csf3,ENSMUSG00000038067
Q60753,Ctf1,ENSMUSG00000042340
P29268,Ctgf,ENSMUSG00000019997
Q9D1D6,Cthrc1,ENSMUSG00000054196
Q9JLB4,Cubn,ENSMUSG00000026726
O35188,Cx3cl1,ENSMUSG00000031778
P17515,Cxcl10,ENSMUSG00000034855
M0QWR7,Cxcl11,ENSMUSG00000060183
P40224,Cxcl12,ENSMUSG00000061353
O55038,Cxcl13,ENSMUSG00000023078
Q8BSU2,Cxcl16,ENSMUSG00000018920
P18340,Cxcl9,ENSMUSG00000029417
P18406,Cyr61,ENSMUSG00000028195
P28654,Dcn,ENSMUSG00000019929
P56386,Defb1,ENSMUSG00000044748
Q61488,Dhh,ENSMUSG00000023000
O54908,Dkk1,ENSMUSG00000024868
Q9QYZ8,Dkk2,ENSMUSG00000028031
