Lrp1,A0A0R4J0I9,ENSMUSG00000040249
Mtnr1a,Q61184,ENSMUSG00000054764
Agtr2,P35374,ENSMUSG00000068122
Bdkrb2,P32299,ENSMUSG00000021070
Axl,Q00993,ENSMUSG00000002602
Epha3,Q8BRB1,ENSMUSG00000052504
Itga9,B8JK39,ENSMUSG00000039115
Itgb1,P09055,ENSMUSG00000025809
Sdc4,O35988,ENSMUSG00000017009
Itga5,P11688,ENSMUSG00000000555
Itgav,P43406,ENSMUSG00000027087
Itgb3,O54890,ENSMUSG00000020689
Erbb4,Q61527,ENSMUSG00000062209
Notch1,Q01705,ENSMUSG00000026923
Cd9,P40240,ENSMUSG00000030342
Itga6,Q61739,ENSMUSG00000027111
Itgb7,P26011,ENSMUSG00000001281
Itga4,Q792F9,ENSMUSG00000027009
Itga3,Q62470,ENSMUSG00000001507
Itgb5,G5E8F8,ENSMUSG00000022817
Adcyap1r1,P70205,ENSMUSG00000029778
Sctr,Q5FWI2,ENSMUSG00000026387
Vipr1,P97751,ENSMUSG00000032528
Vipr2,P41588,ENSMUSG00000011171
Adipor1,Q91VH1,ENSMUSG00000026457
Adipor2,Q8BQS5,ENSMUSG00000030168
Calcr,Q60755,ENSMUSG00000023964
Calcrl,Q9R1W5,ENSMUSG00000059588
Gpr182,G3X9R9,ENSMUSG00000058396
Ramp2,Q9WUP0,ENSMUSG00000001240
Ramp1,Q9WTJ5,ENSMUSG00000034353
Atp1a3,Q6PIC6,ENSMUSG00000040907
Lrp4,Q8VI56,ENSMUSG00000027253
Musk,Q61006,ENSMUSG00000057280
Mc3r,P33033,ENSMUSG00000038537
Mc4r,P56450,ENSMUSG00000047259
Mc5r,P41149,ENSMUSG00000007480
Sdc3,Q64519,ENSMUSG00000025743
Lrp2,A2ARV4,ENSMUSG00000027070
Mas1,P30554,ENSMUSG00000068037
Insr,P15208,ENSMUSG00000005534
Acvr1,P37172,ENSMUSG00000026836
Amhr2,Q8K592,ENSMUSG00000023047
Egfr,Q01279,ENSMUSG00000020122
Tek,Q02858,ENSMUSG00000006386
Tie1,Q06806,ENSMUSG00000033191
Dysf,Q9ESD7,ENSMUSG00000033788
Fpr1,P33766,ENSMUSG00000045551
Aplnr,Q9WV08,ENSMUSG00000044338
Itgam,G5E8F1,ENSMUSG00000030786
Itgb2,Q542I8,ENSMUSG00000000290
Ldlr,P35951,ENSMUSG00000032193
Lrp6,A0A0R4J0A9,ENSMUSG00000030201
Lrp8,Q924X6,ENSMUSG00000028613
Lsr,Q99KG5,ENSMUSG00000001247
Olr1,Q9EQ09,ENSMUSG00000030162
Sdc2,P43407,ENSMUSG00000022261
Tlr2,G3X8Y8,ENSMUSG00000027995
Lepr,P48356,ENSMUSG00000057722
Chrna4,O70174,ENSMUSG00000027577
Lrp5,Q91VN0,ENSMUSG00000024913
Scarb1,Q61009,ENSMUSG00000037936
Sorl1,O88307,ENSMUSG00000049313
Vldlr,P98156,ENSMUSG00000024924
Cav1,P49817,ENSMUSG00000007655
Cd74,P04441,ENSMUSG00000024610
Gpc1,Q9QZF2,ENSMUSG00000034220
Ncstn,P57716,ENSMUSG00000003458
Ngfr,Q9Z0W1,ENSMUSG00000000120
Slc45a3,Q8K0H7,ENSMUSG00000026435
Tnfrsf21,Q9EPU5,ENSMUSG00000023915
Erbb3,Q61526,ENSMUSG00000018166
Chrm3,Q9ERZ3,ENSMUSG00000046159
Pld2,P97813,ENSMUSG00000020828
Gfra1,P97785,ENSMUSG00000025089
Gfra3,O35118,ENSMUSG00000024366
Ret,P35546,ENSMUSG00000030110
Atrn,Q9WU60,ENSMUSG00000027312
F11r,O88792,ENSMUSG00000038235
Mc2r,Q64326,ENSMUSG00000045569
Avpr1a,Q62463,ENSMUSG00000020123
Avpr1b,Q9WU02,ENSMUSG00000026432
