A0A0R4J0I9,ENSMUSG00000040249
Q61184,ENSMUSG00000054764
P35374,ENSMUSG00000068122
P32299,ENSMUSG00000021070
Q00993,ENSMUSG00000002602
Q8BRB1,ENSMUSG00000052504
B8JK39,ENSMUSG00000039115
P09055,ENSMUSG00000025809
O35988,ENSMUSG00000017009
P11688,ENSMUSG00000000555
P43406,ENSMUSG00000027087
O54890,ENSMUSG00000020689
Q61527,ENSMUSG00000062209
Q01705,ENSMUSG00000026923
P40240,ENSMUSG00000030342
Q61739,ENSMUSG00000027111
P26011,ENSMUSG00000001281
Q792F9,ENSMUSG00000027009
Q62470,ENSMUSG00000001507
G5E8F8,ENSMUSG00000022817
P70205,ENSMUSG00000029778
Q5FWI2,ENSMUSG00000026387
P97751,ENSMUSG00000032528
P41588,ENSMUSG00000011171
Q91VH1,ENSMUSG00000026457
Q8BQS5,ENSMUSG00000030168
Q60755,ENSMUSG00000023964
Q9R1W5,ENSMUSG00000059588
G3X9R9,ENSMUSG00000058396
Q9WUP0,ENSMUSG00000001240
Q9WTJ5,ENSMUSG00000034353
Q6PIC6,ENSMUSG00000040907
Q8VI56,ENSMUSG00000027253
Q61006,ENSMUSG00000057280
P33033,ENSMUSG00000038537
P56450,ENSMUSG00000047259
P41149,ENSMUSG00000007480
Q64519,ENSMUSG00000025743
A2ARV4,ENSMUSG00000027070
P30554,ENSMUSG00000068037
P15208,ENSMUSG00000005534
P37172,ENSMUSG00000026836
Q8K592,ENSMUSG00000023047
Q01279,ENSMUSG00000020122
Q02858,ENSMUSG00000006386
Q06806,ENSMUSG00000033191
Q9ESD7,ENSMUSG00000033788
P33766,ENSMUSG00000045551
Q9WV08,ENSMUSG00000044338
G5E8F1,ENSMUSG00000030786
Q542I8,ENSMUSG00000000290
P35951,ENSMUSG00000032193
A0A0R4J0A9,ENSMUSG00000030201
Q924X6,ENSMUSG00000028613
Q99KG5,ENSMUSG00000001247
Q9EQ09,ENSMUSG00000030162
P43407,ENSMUSG00000022261
G3X8Y8,ENSMUSG00000027995
P48356,ENSMUSG00000057722
O70174,ENSMUSG00000027577
Q91VN0,ENSMUSG00000024913
Q61009,ENSMUSG00000037936
O88307,ENSMUSG00000049313
P98156,ENSMUSG00000024924
P49817,ENSMUSG00000007655
P04441,ENSMUSG00000024610
Q9QZF2,ENSMUSG00000034220
P57716,ENSMUSG00000003458
Q9Z0W1,ENSMUSG00000000120
Q8K0H7,ENSMUSG00000026435
Q9EPU5,ENSMUSG00000023915
Q61526,ENSMUSG00000018166
Q9ERZ3,ENSMUSG00000046159
P97813,ENSMUSG00000020828
P97785,ENSMUSG00000025089
O35118,ENSMUSG00000024366
P35546,ENSMUSG00000030110
Q9WU60,ENSMUSG00000027312
O88792,ENSMUSG00000038235
Q64326,ENSMUSG00000045569
Q62463,ENSMUSG00000020123
Q9WU02,ENSMUSG00000026432
O88721,ENSMUSG00000031390
P97926,ENSMUSG00000049112
P24161,ENSMUSG00000005763
P04235,ENSMUSG00000032094
P11942,ENSMUSG00000002033
P70387,ENSMUSG00000006611
O54707,ENSMUSG00000030165
Q62351,ENSMUSG00000022797
Q810U4,ENSMUSG00000020598
Q03146,ENSMUSG00000003534
P51436,ENSMUSG00000025496
P15209,ENSMUSG00000055254
Q6PHU5,ENSMUSG00000068747
Q9JHF9,ENSMUSG00000025779
Q9EPQ1,ENSMUSG00000044827
Q9QUK6,ENSMUSG00000039005
P27038,ENSMUSG00000052155
P27040,ENSMUSG00000061393
Q61288,ENSMUSG00000000530
P36895,ENSMUSG00000021796
P36898,ENSMUSG00000052430
O35607,ENSMUSG00000067336
Q63961,ENSMUSG00000026814
Q7TQ32,ENSMUSG00000038403
P70424,ENSMUSG00000062312
P11911,ENSMUSG00000003379
Q80WM9,ENSMUSG00000042333
Q7TSP5,ENSMUSG00000051076
P58196,ENSMUSG00000032377
O89103,ENSMUSG00000027435
Q64735,ENSMUSG00000016481
Q8VHY0,ENSMUSG00000032911
Q8K480,ENSMUSG00000034739
O09047,ENSMUSG00000040552
Q8BW93,ENSMUSG00000074361
P25918,ENSMUSG00000030724
O88174,ENSMUSG00000016493
P35762,ENSMUSG00000037706
P27512,ENSMUSG00000017652
P30993,ENSMUSG00000049130
Q9QUM0,ENSMUSG00000034664
Q5ND28,ENSMUSG00000038188
P47750,ENSMUSG00000020963
E9QNX9,ENSMUSG00000005533
Q9Z1M0,ENSMUSG00000029468
O08786,ENSMUSG00000029193
P56481,ENSMUSG00000030898
P56484,ENSMUSG00000042262
O08707,ENSMUSG00000044534
Q924I3,ENSMUSG00000079355
P51678,ENSMUSG00000035448
O88410,ENSMUSG00000050232
P51680,ENSMUSG00000047898
Q9JL21,ENSMUSG00000044052
O54689,ENSMUSG00000040899
Q9WUT7,ENSMUSG00000029530
Q6X632,ENSMUSG00000043999
P18828,ENSMUSG00000020592
Q01102,ENSMUSG00000026580
P18337,ENSMUSG00000026581
Q60803,ENSMUSG00000021277
P13379,ENSMUSG00000024669
P41272,ENSMUSG00000030336
P15116,ENSMUSG00000024304
Q60677,ENSMUSG00000005947
O88713,ENSMUSG00000030114
A2A8L5,ENSMUSG00000033295
P28828,ENSMUSG00000033278
A0A0R4J0N8,ENSMUSG00000045382
P35378,ENSMUSG00000032937
P30730,ENSMUSG00000024107
Q61146,ENSMUSG00000021638
Q64729,ENSMUSG00000007613
Q62312,ENSMUSG00000032440
Q62469,ENSMUSG00000015533
O88507,ENSMUSG00000028444
Q9JM58,ENSMUSG00000007888
Q00560,ENSMUSG00000021756
P42703,ENSMUSG00000054263
P05532,ENSMUSG00000005672
P22272,ENSMUSG00000027947
P12960,ENSMUSG00000055022
Q9CPW0,ENSMUSG00000039419
P97333,ENSMUSG00000025810
A2APM2,ENSMUSG00000005087
P51655,ENSMUSG00000031119
P35918,ENSMUSG00000062960
Q08857,ENSMUSG00000002944
Q62371,ENSMUSG00000026674
P35917,ENSMUSG00000020357
Q3V3R4,ENSMUSG00000042284
A0A0B4J1F0,ENSMUSG00000032243
Q9DBI0,ENSMUSG00000016942
E9PXZ3,ENSMUSG00000090210
P20917,ENSMUSG00000036634
Q7TRX9,ENSMUSG00000062128
Q61735,ENSMUSG00000055447
Q0VBD0,ENSMUSG00000025321
Q99P50,ENSMUSG00000051136
P30873,ENSMUSG00000035431
P30875,ENSMUSG00000047904
P30935,ENSMUSG00000044933
A0A0R4J1D6,ENSMUSG00000037014
O08858,ENSMUSG00000050824
Q9JHI9,ENSMUSG00000025993
P35347,ENSMUSG00000018634
Q60748,ENSMUSG00000003476
P09581,ENSMUSG00000024621
P40223,ENSMUSG00000028859
P26952,ENSMUSG00000068758
