x,A2m_Lrp1,A2M_LRP1
A2M_LRP1,Aanat_Mtnr1a,AANAT_MTNR1A
AANAT_MTNR1A,Ace_Agtr2,ACE_AGTR2
AANAT_MTNR1B,Ace_Bdkrb2,ACE_BDKRB2
ACE_AGTR2,Adam10_Axl,ADAM10_AXL
ACE_BDKRB2,Adam10_Epha3,ADAM10_EPHA3
ADAM10_AXL,Adam12_Itga9,ADAM12_ITGA9
ADAM10_EPHA3,Adam12_Itgb1,ADAM12_ITGB1
ADAM12_ITGA9,Adam12_Sdc4,ADAM12_SDC4
ADAM12_ITGB1,Adam15_Itga9,ADAM15_ITGA9
ADAM12_SDC4,Adam15_Itgb1,ADAM15_ITGB1
ADAM15_ITGA5,Adam15_Itga5,ADAM15_ITGA5
ADAM15_ITGA9,Adam15_Itgav,ADAM15_ITGAV
ADAM15_ITGAV,Adam15_Itgb3,ADAM15_ITGB3
ADAM15_ITGB1,Adam17_Itgb1,ADAM17_ITGB1
ADAM15_ITGB3,Adam17_Itga5,ADAM17_ITGA5
ADAM17_ERBB4,Adam17_Erbb4,ADAM17_ERBB4
ADAM17_ITGA5,Adam17_Notch1,ADAM17_NOTCH1
ADAM17_ITGB1,Adam2_Itga9,ADAM2_ITGA9
ADAM17_NOTCH1,Adam2_Itgb1,ADAM2_ITGB1
ADAM23_ITGA5,Adam2_Cd9,ADAM2_CD9
ADAM23_ITGB3,Adam2_Itga6,ADAM2_ITGA6
ADAM28_ITGA4,Adam2_Itgb7,ADAM2_ITGB7
ADAM2_CD9,Adam23_Itga5,ADAM23_ITGA5
ADAM2_ITGA6,Adam23_Itgb3,ADAM23_ITGB3
ADAM2_ITGA9,Adam28_Itga4,ADAM28_ITGA4
ADAM2_ITGB1,Adam9_Itgb1,ADAM9_ITGB1
ADAM2_ITGB7,Adam9_Itgav,ADAM9_ITGAV
ADAM9_ITGA3,Adam9_Itga6,ADAM9_ITGA6
ADAM9_ITGA6,Adam9_Itga3,ADAM9_ITGA3
ADAM9_ITGAV,Adam9_Itgb5,ADAM9_ITGB5
ADAM9_ITGB1,Adcyap1_Adcyap1r1,ADCYAP1_ADCYAP1R1
ADAM9_ITGB5,Adcyap1_Sctr,ADCYAP1_SCTR
ADCYAP1_ADCYAP1R1,Adcyap1_Vipr1,ADCYAP1_VIPR1
ADCYAP1_SCTR,Adcyap1_Vipr2,ADCYAP1_VIPR2
ADCYAP1_VIPR1,Adipoq_Adipor1,ADIPOQ_ADIPOR1
ADCYAP1_VIPR2,Adipoq_Adipor2,ADIPOQ_ADIPOR2
ADIPOQ_ADIPOR1,Adm_Calcr,ADM_CALCR
ADIPOQ_ADIPOR2,Adm_Calcrl,ADM_CALCRL
ADM2_CALCR,Adm_Gpr182,ADM_GPR182
ADM2_CALCRL,Adm_Ramp2,ADM_RAMP2
ADM2_RAMP1,Adm2_Calcr,ADM2_CALCR
ADM_CALCR,Adm2_Calcrl,ADM2_CALCRL
ADM_CALCRL,Adm2_Ramp1,ADM2_RAMP1
ADM_GPR182,Agrn_Atp1a3,AGRN_ATP1A3
ADM_MRGPRX2,Agrn_Lrp4,AGRN_LRP4
ADM_RAMP2,Agrn_Musk,AGRN_MUSK
AGRN_ATP1A3,Agrp_Mc3r,AGRP_MC3R
AGRN_LRP4,Agrp_Mc4r,AGRP_MC4R
AGRN_MUSK,Agrp_Mc5r,AGRP_MC5R
AGRP_MC3R,Agrp_Sdc3,AGRP_SDC3
AGRP_MC4R,Agt_Agtr2,AGT_AGTR2
AGRP_MC5R,Agt_Lrp2,AGT_LRP2
AGRP_SDC3,Agt_Mas1,AGT_MAS1
AGT_AGTR1,Ahsg_Insr,AHSG_INSR
AGT_AGTR2,Alb_Lrp2,ALB_LRP2
AGT_LRP2,Amh_Acvr1,AMH_ACVR1
AGT_MAS1,Amh_Amhr2,AMH_AMHR2
AHSG_INSR,Amh_Egfr,AMH_EGFR
ALB_LRP2,Angpt1_Itgb1,ANGPT1_ITGB1
ALOX5AP_ALOX5,Angpt1_Itga5,ANGPT1_ITGA5
AMELX_LAMP1,Angpt1_Tek,ANGPT1_TEK
AMELY_LAMP1,Angpt1_Tie1,ANGPT1_TIE1
AMH_ACVR1,Angpt2_Tek,ANGPT2_TEK
AMH_AMHR2,Angpt2_Tie1,ANGPT2_TIE1
AMH_EGFR,Angpt4_Tek,ANGPT4_TEK
