"","x"
"1","A2M_LRP1"
"2","AANAT_MTNR1A"
"3","AANAT_MTNR1B"
"4","ACE_AGTR2"
"5","ACE_BDKRB2"
"6","ADAM10_AXL"
"7","ADAM10_EPHA3"
"8","ADAM12_ITGA9"
"9","ADAM12_ITGB1"
"10","ADAM12_SDC4"
"11","ADAM15_ITGA5"
"12","ADAM15_ITGA9"
"13","ADAM15_ITGAV"
"14","ADAM15_ITGB1"
"15","ADAM15_ITGB3"
"16","ADAM17_ERBB4"
"17","ADAM17_ITGA5"
"18","ADAM17_ITGB1"
"19","ADAM17_NOTCH1"
"20","ADAM23_ITGA5"
"21","ADAM23_ITGB3"
"22","ADAM28_ITGA4"
"23","ADAM2_CD9"
"24","ADAM2_ITGA6"
"25","ADAM2_ITGA9"
"26","ADAM2_ITGB1"
"27","ADAM2_ITGB7"
"28","ADAM9_ITGA3"
"29","ADAM9_ITGA6"
"30","ADAM9_ITGAV"
"31","ADAM9_ITGB1"
"32","ADAM9_ITGB5"
"33","ADCYAP1_ADCYAP1R1"
"34","ADCYAP1_SCTR"
"35","ADCYAP1_VIPR1"
"36","ADCYAP1_VIPR2"
"37","ADIPOQ_ADIPOR1"
"38","ADIPOQ_ADIPOR2"
"39","ADM2_CALCR"
"40","ADM2_CALCRL"
"41","ADM2_RAMP1"
"42","ADM_CALCR"
"43","ADM_CALCRL"
"44","ADM_GPR182"
"45","ADM_MRGPRX2"
"46","ADM_RAMP2"
"47","AGRN_ATP1A3"
"48","AGRN_LRP4"
"49","AGRN_MUSK"
"50","AGRP_MC3R"
"51","AGRP_MC4R"
"52","AGRP_MC5R"
"53","AGRP_SDC3"
"54","AGT_AGTR1"
"55","AGT_AGTR2"
"56","AGT_LRP2"
"57","AGT_MAS1"
"58","AHSG_INSR"
"59","ALB_LRP2"
"60","ALOX5AP_ALOX5"
"61","AMELX_LAMP1"
"62","AMELY_LAMP1"
"63","AMH_ACVR1"
"64","AMH_AMHR2"
"65","AMH_EGFR"
"66","ANGPT1_ITGA5"
"67","ANGPT1_ITGB1"
"68","ANGPT1_TEK"
"69","ANGPT1_TIE1"
"70","ANGPT2_TEK"
"71","ANGPT2_TIE1"
"72","ANGPT4_TEK"
"73","ANGPT4_TIE1"
"74","ANGPTL1_TEK"
"75","ANGPTL2_TIE1"
"76","ANGPTL3_ITGA5"
"77","ANGPTL3_ITGAV"
"78","ANGPTL3_ITGB3"
"79","ANGPTL4_TIE1"
"80","ANXA1_DYSF"
"81","ANXA1_EGFR"
"82","ANXA1_FPR1"
"83","ANXA1_FPR2"
"84","ANXA1_FPR3"
"85","APLN_APLNR"
"86","APOB_CALCR"
"87","APOB_ITGAM"
"88","APOB_ITGB2"
"89","APOB_LDLR"
"90","APOB_LRP2"
"91","APOB_LRP6"
"92","APOB_LRP8"
"93","APOB_LSR"
"94","APOB_OLR1"
"95","APOC3_SDC2"
"96","APOC3_TLR2"
"97","APOD_LEPR"
"98","APOE_CHRNA4"
"99","APOE_LDLR"
"100","APOE_LRP1"
"101","APOE_LRP2"
"102","APOE_LRP5"
"103","APOE_LRP8"
"104","APOE_SCARB1"
"105","APOE_SORL1"
"106","APOE_VLDLR"
"107","APP_CAV1"
"108","APP_CD74"
"109","APP_FPR2"
"110","APP_GPC1"
"111","APP_LRP1"
"112","APP_NCSTN"
"113","APP_NGFR"
"114","APP_SLC45A3"
"115","APP_TNFRSF21"
"116","AREGB_EGFR"
"117","AREGB_ERBB3"
"118","AREG_EGFR"
"119","AREG_ERBB3"
"120","ARF1_CHRM3"
"121","ARF1_INSR"
"122","ARF1_PLD2"
"123","ARTN_GFRA1"
"124","ARTN_GFRA3"
"125","ARTN_RET"
"126","ASIP_ATRN"
"127","ASIP_F11R"
"128","ASIP_MC1R"
"129","ASIP_MC2R"
"130","ASIP_MC3R"
"131","ASIP_MC4R"
"132","ASIP_MC5R"
"133","ASIP_MGRN1"
"134","AVP_AVPR1A"
"135","AVP_AVPR1B"
"136","AVP_AVPR2"
"137","AVP_OXTR"
"138","AZGP1_ITGAV"
"139","B2M_CD1A"
"140","B2M_CD1B"
"141","B2M_CD247"
"142","B2M_CD3D"
"143","B2M_CD3G"
"144","B2M_HFE"
"145","B2M_HLA-F"
"146","B2M_KIR2DL1"
"147","B2M_KIR2DL3"
"148","B2M_KIR3DL1"
"149","B2M_KLRC1"
"150","B2M_KLRD1"
"151","B2M_LILRB1"
"152","B2M_LILRB2"
"153","B2M_TFRC"
"154","BCAN_EGFR"
"155","BCAN_NRCAM"
"156","BDNF_DDR1"
"157","BDNF_DRD4"
"158","BDNF_NGFR"
"159","BDNF_NGFRAP1"
"160","BDNF_NTRK2"
"161","BDNF_SORT1"
"162","BGN_LY96"
"163","BGN_TLR1"
"164","BGN_TLR2"
"165","BGN_TLR4"
"166","BMP10_ACVR1"
"167","BMP10_ACVR2A"
"168","BMP10_ACVR2B"
"169","BMP10_ACVRL1"
"170","BMP10_BMPR1A"
"171","BMP10_BMPR1B"
"172","BMP10_BMPR2"
"173","BMP10_ENG"
"174","BMP15_ACVR1"
"175","BMP15_ACVR2A"
"176","BMP15_ACVR2B"
"177","BMP15_BMPR1A"
"178","BMP15_BMPR1B"
"179","BMP15_BMPR2"
"180","BMP2_ACVR1"
"181","BMP2_ACVR2A"
"182","BMP2_ACVR2B"
"183","BMP2_BMPR1A"
"184","BMP2_BMPR1B"
"185","BMP2_BMPR2"
"186","BMP2_ENG"
"187","BMP2_HFE2"
"188","BMP3_ACVR1"
"189","BMP3_ACVR2A"
"190","BMP3_ACVR2B"
"191","BMP3_BMPR1A"
"192","BMP3_BMPR1B"
"193","BMP3_BMPR2"
"194","BMP4_ACVR1"
"195","BMP4_ACVR2A"
"196","BMP4_ACVR2B"
"197","BMP4_BMPR1A"
"198","BMP4_BMPR1B"
"199","BMP4_BMPR2"
"200","BMP4_HFE2"
"201","BMP5_ACVR1"
"202","BMP5_ACVR2A"
"203","BMP5_ACVR2B"
"204","BMP5_BMPR1A"
"205","BMP5_BMPR1B"
"206","BMP5_BMPR2"
"207","BMP5_HFE2"
"208","BMP6_ACVR1"
"209","BMP6_ACVR2A"
"210","BMP6_ACVR2B"
"211","BMP6_BMPR1A"
"212","BMP6_BMPR1B"
"213","BMP6_BMPR2"
"214","BMP7_ACVR1"
"215","BMP7_ACVR2A"
"216","BMP7_ACVR2B"
"217","BMP7_BMPR1A"
"218","BMP7_BMPR1B"
"219","BMP7_BMPR2"
"220","BMP7_ENG"
"221","BMP8B_ACVR1"
"222","BMP8B_ACVR2A"
"223","BMP8B_ACVR2B"
"224","BMP8B_BMPR1A"
"225","BMP8B_BMPR1B"
"226","BMP8B_BMPR2"
"227","BST1_CAV1"
"228","BTC_EGFR"
"229","BTC_ERBB2"
"230","BTC_ERBB3"
"231","BTC_ERBB4"
"232","BTLA_CD247"
"233","BTLA_CD79A"
"234","BTLA_TNFRSF14"
"235","BTLA_VTCN1"
"236","C1QA_CD93"
"237","C1QA_CR1"
"238","C1QA_CSPG4"
"239","C1QB_LRP1"
"240","C1QTNF1_AVPR2"
"241","C1QTNF5_MFRP"
"242","C1orf112_PLSCR4"
"243","C1orf194_PLSCR4"
"244","C1orf200_LY6G6C"
