,ligand,receptor,
1,ICOSLG,ICOS,ICOSLG_ICOS
2,ICOSLG,CD28,ICOSLG_CD28
3,CD80,CD28,CD80_CD28
4,CD86,CD28,CD86_CD28
5,CD70,CD27,CD70_CD27
6,TNFSF14,TNFRSF14,TNFSF14_TNFRSF14
7,CD40LG,CD40,CD40LG_CD40
8,TNFSF9,TNFRSF9,TNFSF9_TNFRSF9
9,TNFSF4,TNFRSF4,TNFSF4_TNFRSF4
10,TNFSF15,TNFRSF25,TNFSF15_TNFRSF25
11,TNFSF18,TNFRSF18,TNFSF18_TNFRSF18
12,TNFSF8,TNFRSF8,TNFSF8_TNFRSF8
13,SLAMF1,SLAMF1,SLAMF1_SLAMF1
14,CD48,CD2,CD48_CD2
15,CD58,CD2,CD58_CD2
16,PVR,CD226,PVR_CD226
17,NECTIN2,CD226,NECTIN2_CD226
18,CD86,CTLA4,CD86_CTLA4
19,CD80,CTLA4,CD80_CTLA4
20,PDCD1LG2,PDCD1,PDCD1LG2_PDCD1
21,CD274,PDCD1,CD274_PDCD1
22,CD274,CD80,CD274_CD80
23,TNFRSF14,CD160,TNFRSF14_CD160
24,TNFRSF14,BTLA,TNFRSF14_BTLA
25,LGALS9,HAVCR2,LGALS9_HAVCR2
26,CD48,CD244,CD48_CD244
27,PVR,TIGIT,PVR_TIGIT
28,NECTIN2,TIGIT,NECTIN2_TIGIT
29,NECTIN3,TIGIT,NECTIN3_TIGIT
30,ICOSLG,CTLA4,ICOSLG_CTLA4
31,CADM1,CRTAM,CADM1_CRTAM
32,TIMD4,HAVCR1,TIMD4_HAVCR1
33,HAVCR1,HAVCR1,HAVCR1_HAVCR1
34,SLAMF6,SLAMF6,SLAMF6_SLAMF6
35,CD84,CD84,CD84_CD84
36,LY9,LY9,LY9_LY9
37,SLAMF7,SLAMF7,SLAMF7_SLAMF7
38,LTA,TNFRSF1A,LTA_TNFRSF1A
39,TNF,TNFRSF1B,TNF_TNFRSF1B
40,TNFSF14,LTBR,TNFSF14_LTBR
41,FASLG,FAS,FASLG_FAS
42,TNFSF10,TNFRSF10A,TNFSF10_TNFRSF10A
43,TNFSF10,TNFRSF10B,TNFSF10_TNFRSF10B
44,TNFSF10,TNFRSF10C,TNFSF10_TNFRSF10C
45,TNFSF10,TNFRSF10D,TNFSF10_TNFRSF10D
46,HLA-DPA1,LAG3,HLA-DPA1_LAG3
47,HLA-DPB1,LAG3,HLA-DPB1_LAG3
48,HLA-DQA1,LAG3,HLA-DQA1_LAG3
49,HLA-DQA2,LAG3,HLA-DQA2_LAG3
50,HLA-DQB1,LAG3,HLA-DQB1_LAG3
51,HLA-DQB2,LAG3,HLA-DQB2_LAG3
52,HLA-DRA,LAG3,HLA-DRA_LAG3
53,HLA-DRB1,LAG3,HLA-DRB1_LAG3
54,HLA-DRB3,LAG3,HLA-DRB3_LAG3
55,HLA-DRB4,LAG3,HLA-DRB4_LAG3
56,HLA-DRB5,LAG3,HLA-DRB5_LAG3
57,NECTIN1,CD96,NECTIN1_CD96
58,PVR,CD96,PVR_CD96
59,HMGB1,HAVCR2,HMGB1_HAVCR2
60,CEACAM1,HAVCR2,CEACAM1_HAVCR2
61,HHLA2,TMIGD2,HHLA2_TMIGD2
62,PDCD1LG2,RGMB,PDCD1LG2_RGMB
63,CLEC4G,LAG3,CLEC4G_LAG3
64,FGL1,LAG3,FGL1_LAG3
65,A2M,LRP1,A2M_LRP1
66,AANAT,MTNR1A,AANAT_MTNR1A
67,AANAT,MTNR1B,AANAT_MTNR1B
68,ACE,AGTR2,ACE_AGTR2
69,ACE,BDKRB2,ACE_BDKRB2
70,ADAM10,AXL,ADAM10_AXL
71,ADAM10,EPHA3,ADAM10_EPHA3
72,ADAM12,ITGA9,ADAM12_ITGA9
73,ADAM12,ITGB1,ADAM12_ITGB1
74,ADAM12,SDC4,ADAM12_SDC4
75,ADAM15,ITGA5,ADAM15_ITGA5
76,ADAM15,ITGA9,ADAM15_ITGA9
77,ADAM15,ITGAV,ADAM15_ITGAV
78,ADAM15,ITGB1,ADAM15_ITGB1
79,ADAM15,ITGB3,ADAM15_ITGB3
80,ADAM17,ERBB4,ADAM17_ERBB4
81,ADAM17,ITGA5,ADAM17_ITGA5
82,ADAM17,ITGB1,ADAM17_ITGB1
83,ADAM17,NOTCH1,ADAM17_NOTCH1
84,ADAM23,ITGA5,ADAM23_ITGA5
85,ADAM23,ITGB3,ADAM23_ITGB3
86,ADAM28,ITGA4,ADAM28_ITGA4
87,ADAM2,CD9,ADAM2_CD9
88,ADAM2,ITGA6,ADAM2_ITGA6
89,ADAM2,ITGA9,ADAM2_ITGA9
90,ADAM2,ITGB1,ADAM2_ITGB1
91,ADAM2,ITGB7,ADAM2_ITGB7
92,ADAM9,ITGA3,ADAM9_ITGA3
93,ADAM9,ITGA6,ADAM9_ITGA6
94,ADAM9,ITGAV,ADAM9_ITGAV
95,ADAM9,ITGB1,ADAM9_ITGB1
96,ADAM9,ITGB5,ADAM9_ITGB5
97,ADCYAP1,ADCYAP1R1,ADCYAP1_ADCYAP1R1
98,ADCYAP1,SCTR,ADCYAP1_SCTR
99,ADCYAP1,VIPR1,ADCYAP1_VIPR1
100,ADCYAP1,VIPR2,ADCYAP1_VIPR2
101,ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1
102,ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2
103,ADM2,CALCR,ADM2_CALCR
104,ADM2,CALCRL,ADM2_CALCRL
105,ADM2,RAMP1,ADM2_RAMP1
106,ADM,CALCR,ADM_CALCR
107,ADM,CALCRL,ADM_CALCRL
108,ADM,GPR182,ADM_GPR182
109,ADM,MRGPRX2,ADM_MRGPRX2
110,ADM,RAMP2,ADM_RAMP2
111,AGRN,ATP1A3,AGRN_ATP1A3
112,AGRN,LRP4,AGRN_LRP4
113,AGRN,MUSK,AGRN_MUSK
114,AGRP,MC3R,AGRP_MC3R
115,AGRP,MC4R,AGRP_MC4R
116,AGRP,MC5R,AGRP_MC5R
117,AGRP,SDC3,AGRP_SDC3
118,AGT,AGTR1,AGT_AGTR1
119,AGT,AGTR2,AGT_AGTR2
120,AGT,LRP2,AGT_LRP2
121,AGT,MAS1,AGT_MAS1
122,AHSG,INSR,AHSG_INSR
123,ALB,LRP2,ALB_LRP2
124,AMELX,LAMP1,AMELX_LAMP1
125,AMELY,LAMP1,AMELY_LAMP1
126,AMH,ACVR1,AMH_ACVR1
127,AMH,AMHR2,AMH_AMHR2
128,AMH,EGFR,AMH_EGFR
129,ANGPT1,ITGA5,ANGPT1_ITGA5
130,ANGPT1,TEK,ANGPT1_TEK
131,ANGPT1,TIE1,ANGPT1_TIE1
132,ANGPT2,TEK,ANGPT2_TEK
133,ANGPT4,TEK,ANGPT4_TEK
134,ANGPTL1,TEK,ANGPTL1_TEK
135,ANGPTL3,ITGA5,ANGPTL3_ITGA5
136,ANGPTL3,ITGAV,ANGPTL3_ITGAV
137,ANGPTL3,ITGB3,ANGPTL3_ITGB3
138,ANXA1,DYSF,ANXA1_DYSF
139,ANXA1,EGFR,ANXA1_EGFR
140,ANXA1,FPR1,ANXA1_FPR1
141,ANXA1,FPR2,ANXA1_FPR2
142,ANXA1,FPR3,ANXA1_FPR3
143,APLN,APLNR,APLN_APLNR
144,APOB,LDLR,APOB_LDLR
145,APOB,LRP2,APOB_LRP2
146,APOB,LSR,APOB_LSR
147,APOB,OLR1,APOB_OLR1
148,APOD,LEPR,APOD_LEPR
149,APOE,LDLR,APOE_LDLR
150,APOE,LRP1,APOE_LRP1
151,APOE,LRP2,APOE_LRP2
152,APOE,LRP5,APOE_LRP5
153,APOE,LRP8,APOE_LRP8
154,APOE,SCARB1,APOE_SCARB1
155,APOE,SORL1,APOE_SORL1
156,APOE,VLDLR,APOE_VLDLR
157,APP,CAV1,APP_CAV1
158,APP,CD74,APP_CD74
159,APP,FPR2,APP_FPR2
160,APP,GPC1,APP_GPC1
161,APP,LRP1,APP_LRP1
162,APP,NCSTN,APP_NCSTN
163,APP,TNFRSF21,APP_TNFRSF21
164,AREGB,EGFR,AREGB_EGFR
165,AREG,EGFR,AREG_EGFR
166,AREG,ERBB3,AREG_ERBB3
167,ARF1,CHRM3,ARF1_CHRM3
168,ARF1,INSR,ARF1_INSR
169,ARF1,PLD2,ARF1_PLD2
170,ARTN,GFRA1,ARTN_GFRA1
171,ARTN,GFRA3,ARTN_GFRA3
172,ARTN,RET,ARTN_RET
173,ASIP,ATRN,ASIP_ATRN
174,ASIP,F11R,ASIP_F11R
175,ASIP,MC1R,ASIP_MC1R
176,ASIP,MC2R,ASIP_MC2R
177,ASIP,MC3R,ASIP_MC3R
178,ASIP,MC4R,ASIP_MC4R
179,ASIP,MC5R,ASIP_MC5R
180,AVP,AVPR1A,AVP_AVPR1A
181,AVP,AVPR1B,AVP_AVPR1B
182,AVP,AVPR2,AVP_AVPR2
183,AVP,OXTR,AVP_OXTR
184,AZGP1,ITGAV,AZGP1_ITGAV
185,B2M,CD1A,B2M_CD1A
186,B2M,CD1B,B2M_CD1B
187,B2M,HFE,B2M_HFE
188,B2M,HLA-F,B2M_HLA-F
189,B2M,LILRB1,B2M_LILRB1
190,BDNF,NGFR,BDNF_NGFR
191,BDNF,NGFRAP1,BDNF_NGFRAP1
192,BDNF,NTRK2,BDNF_NTRK2
193,BDNF,SORT1,BDNF_SORT1
194,BGN,TLR2,BGN_TLR2
195,BGN,TLR4,BGN_TLR4
196,BMP10,ACVR2A,BMP10_ACVR2A
197,BMP10,ACVRL1,BMP10_ACVRL1
198,BMP10,BMPR1A,BMP10_BMPR1A
199,BMP10,BMPR1B,BMP10_BMPR1B
200,BMP10,BMPR2,BMP10_BMPR2
201,BMP10,ENG,BMP10_ENG
202,BMP15,ACVR2A,BMP15_ACVR2A
203,BMP15,BMPR1A,BMP15_BMPR1A
204,BMP15,BMPR1B,BMP15_BMPR1B
205,BMP15,BMPR2,BMP15_BMPR2
206,BMP2,ACVR1,BMP2_ACVR1
207,BMP2,ACVR2A,BMP2_ACVR2A
208,BMP2,ACVR2B,BMP2_ACVR2B
209,BMP2,BMPR1A,BMP2_BMPR1A
210,BMP2,BMPR1B,BMP2_BMPR1B
211,BMP2,BMPR2,BMP2_BMPR2
212,BMP2,ENG,BMP2_ENG
213,BMP2,HFE2,BMP2_HFE2
214,BMP3,ACVR2B,BMP3_ACVR2B
215,BMP4,BMPR1A,BMP4_BMPR1A
216,BMP4,BMPR1B,BMP4_BMPR1B
217,BMP4,BMPR2,BMP4_BMPR2
218,BMP5,BMPR1A,BMP5_BMPR1A
219,BMP6,ACVR1,BMP6_ACVR1
220,BMP6,ACVR2A,BMP6_ACVR2A
221,BMP6,BMPR1A,BMP6_BMPR1A
222,BMP6,BMPR1B,BMP6_BMPR1B
223,BMP6,BMPR2,BMP6_BMPR2
224,BMP7,ACVR1,BMP7_ACVR1
225,BMP7,ACVR2A,BMP7_ACVR2A
226,BMP7,ACVR2B,BMP7_ACVR2B
227,BMP7,BMPR1A,BMP7_BMPR1A
228,BMP7,BMPR1B,BMP7_BMPR1B
229,BMP7,BMPR2,BMP7_BMPR2
230,BMP7,ENG,BMP7_ENG
231,BST1,CAV1,BST1_CAV1
232,BTC,EGFR,BTC_EGFR
233,BTC,ERBB2,BTC_ERBB2
234,BTC,ERBB3,BTC_ERBB3
235,BTC,ERBB4,BTC_ERBB4
236,BTLA,CD79A,BTLA_CD79A
237,BTLA,VTCN1,BTLA_VTCN1
238,C1QA,CD93,C1QA_CD93
239,C1QA,CR1,C1QA_CR1
240,C1QA,CSPG4,C1QA_CSPG4
241,C1QB,LRP1,C1QB_LRP1
242,C1QTNF1,AVPR2,C1QTNF1_AVPR2
243,C1QTNF5,MFRP,C1QTNF5_MFRP
244,C3,C3AR1,C3_C3AR1
245,C3,C5AR2,C3_C5AR2
246,C3,CD19,C3_CD19
247,C3,CD46,C3_CD46
248,C3,CR1,C3_CR1
249,C3,ITGAM,C3_ITGAM
250,C3,ITGAX,C3_ITGAX
251,C3,ITGB2,C3_ITGB2
252,C3,LRP1,C3_LRP1
253,C4A,C3AR1,C4A_C3AR1
254,C4A,C5AR2,C4A_C5AR2
255,C4A,CR1,C4A_CR1
256,C4BPA,BMPR2,C4BPA_BMPR2
257,C4BPA,CD40,C4BPA_CD40
258,C4BPA,LRP1,C4BPA_LRP1
259,C4B,CD46,C4B_CD46
