,ligand,receptor,
1,A2m,Lrp1,A2m_Lrp1
2,Aanat,Mtnr1a,Aanat_Mtnr1a
3,Aanat,Mtnr1b,Aanat_Mtnr1b
4,Ace,Agtr2,Ace_Agtr2
5,Ace,Bdkrb2,Ace_Bdkrb2
6,Adam10,Axl,Adam10_Axl
7,Adam10,Epha3,Adam10_Epha3
8,Adam12,Itga9,Adam12_Itga9
9,Adam12,Itgb1,Adam12_Itgb1
10,Adam12,Sdc4,Adam12_Sdc4
11,Adam15,Itga5,Adam15_Itga5
12,Adam15,Itga9,Adam15_Itga9
13,Adam15,Itgav,Adam15_Itgav
14,Adam15,Itgb1,Adam15_Itgb1
15,Adam15,Itgb3,Adam15_Itgb3
16,Adam17,Erbb4,Adam17_Erbb4
17,Adam17,Itga5,Adam17_Itga5
18,Adam17,Itgb1,Adam17_Itgb1
19,Adam17,Notch1,Adam17_Notch1
20,Adam2,Cd9,Adam2_Cd9
21,Adam2,Itga6,Adam2_Itga6
22,Adam2,Itga9,Adam2_Itga9
23,Adam2,Itgb1,Adam2_Itgb1
24,Adam2,Itgb7,Adam2_Itgb7
25,Adam23,Itga5,Adam23_Itga5
26,Adam23,Itgb3,Adam23_Itgb3
27,Adam28,Itga4,Adam28_Itga4
28,Adam9,Itga3,Adam9_Itga3
29,Adam9,Itga6,Adam9_Itga6
30,Adam9,Itgav,Adam9_Itgav
31,Adam9,Itgb1,Adam9_Itgb1
32,Adam9,Itgb5,Adam9_Itgb5
33,Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1
34,Adcyap1,Sctr,Adcyap1_Sctr
35,Adcyap1,Vipr1,Adcyap1_Vipr1
36,Adcyap1,Vipr2,Adcyap1_Vipr2
37,Adipoq,Adipor1,Adipoq_Adipor1
38,Adipoq,Adipor2,Adipoq_Adipor2
39,Adm,Calcr,Adm_Calcr
40,Adm,Calcrl,Adm_Calcrl
41,Adm,Gpr182,Adm_Gpr182
42,Adm,Mrgprb1,Adm_Mrgprb1
43,Adm,Mrgprx2,Adm_Mrgprx2
44,Adm,Ramp2,Adm_Ramp2
45,Adm2,Calcr,Adm2_Calcr
46,Adm2,Calcrl,Adm2_Calcrl
47,Adm2,Ramp1,Adm2_Ramp1
48,Agrn,Atp1a3,Agrn_Atp1a3
49,Agrn,Lrp4,Agrn_Lrp4
50,Agrn,Musk,Agrn_Musk
51,Agrp,Mc3r,Agrp_Mc3r
52,Agrp,Mc4r,Agrp_Mc4r
53,Agrp,Mc5r,Agrp_Mc5r
54,Agrp,Sdc3,Agrp_Sdc3
55,Agt,Agtr1b,Agt_Agtr1b
56,Agt,Agtr2,Agt_Agtr2
57,Agt,Lrp2,Agt_Lrp2
58,Agt,Mas1,Agt_Mas1
59,Ahsg,Insr,Ahsg_Insr
60,Alb,Lrp2,Alb_Lrp2
61,Amelx,Lamp1,Amelx_Lamp1
62,Amh,Acvr1,Amh_Acvr1
63,Amh,Amhr2,Amh_Amhr2
64,Amh,Egfr,Amh_Egfr
65,Angpt1,Itga5,Angpt1_Itga5
66,Angpt1,Tek,Angpt1_Tek
67,Angpt1,Tie1,Angpt1_Tie1
68,Angpt2,Tek,Angpt2_Tek
69,Angpt4,Tek,Angpt4_Tek
70,Angptl1,Tek,Angptl1_Tek
71,Angptl3,Itga5,Angptl3_Itga5
72,Angptl3,Itgav,Angptl3_Itgav
73,Angptl3,Itgb3,Angptl3_Itgb3
74,Anxa1,Dysf,Anxa1_Dysf
75,Anxa1,Egfr,Anxa1_Egfr
76,Anxa1,Fpr1,Anxa1_Fpr1
77,Anxa1,Fpr2,Anxa1_Fpr2
78,Anxa1,Fpr3,Anxa1_Fpr3
79,Apln,Aplnr,Apln_Aplnr
80,Apob,Ldlr,Apob_Ldlr
81,Apob,Lrp2,Apob_Lrp2
82,Apob,Lsr,Apob_Lsr
83,Apob,Olr1,Apob_Olr1
84,Apod,Lepr,Apod_Lepr
85,Apoe,Ldlr,Apoe_Ldlr
86,Apoe,Lrp1,Apoe_Lrp1
87,Apoe,Lrp2,Apoe_Lrp2
88,Apoe,Lrp5,Apoe_Lrp5
89,Apoe,Lrp8,Apoe_Lrp8
90,Apoe,Scarb1,Apoe_Scarb1
91,Apoe,Sorl1,Apoe_Sorl1
92,Apoe,Vldlr,Apoe_Vldlr
93,App,Cav1,App_Cav1
94,App,Cd74,App_Cd74
95,App,Fpr2,App_Fpr2
96,App,Gpc1,App_Gpc1
97,App,Lrp1,App_Lrp1
98,App,Ncstn,App_Ncstn
99,App,Tnfrsf21,App_Tnfrsf21
100,Areg,Egfr,Areg_Egfr
101,Areg,Erbb3,Areg_Erbb3
102,Arf1,Chrm3,Arf1_Chrm3
103,Arf1,Insr,Arf1_Insr
104,Arf1,Pld2,Arf1_Pld2
105,Artn,Gfra1,Artn_Gfra1
106,Artn,Gfra3,Artn_Gfra3
107,Artn,Ret,Artn_Ret
108,Avp,Avpr1a,Avp_Avpr1a
109,Avp,Avpr1b,Avp_Avpr1b
110,Avp,Avpr2,Avp_Avpr2
111,Avp,Oxtr,Avp_Oxtr
112,Azgp1,Itgav,Azgp1_Itgav
113,B2m,Gm11127,B2m_Gm11127
114,B2m,Gm7030,B2m_Gm7030
115,B2m,Hfe,B2m_Hfe
116,Bdnf,Ngfr,Bdnf_Ngfr
117,Bdnf,Ntrk2,Bdnf_Ntrk2
118,Bdnf,Sort1,Bdnf_Sort1
119,Bgn,Tlr2,Bgn_Tlr2
120,Bgn,Tlr4,Bgn_Tlr4
121,Bmp10,Acvr2a,Bmp10_Acvr2a
122,Bmp10,Acvrl1,Bmp10_Acvrl1
123,Bmp10,Bmpr1a,Bmp10_Bmpr1a
124,Bmp10,Bmpr1b,Bmp10_Bmpr1b
125,Bmp10,Bmpr2,Bmp10_Bmpr2
126,Bmp10,Eng,Bmp10_Eng
127,Bmp15,Acvr2a,Bmp15_Acvr2a
128,Bmp15,Bmpr1a,Bmp15_Bmpr1a
129,Bmp15,Bmpr1b,Bmp15_Bmpr1b
130,Bmp15,Bmpr2,Bmp15_Bmpr2
131,Bmp2,Acvr1,Bmp2_Acvr1
132,Bmp2,Acvr2a,Bmp2_Acvr2a
133,Bmp2,Acvr2b,Bmp2_Acvr2b
134,Bmp2,Bmpr1a,Bmp2_Bmpr1a
135,Bmp2,Bmpr1b,Bmp2_Bmpr1b
136,Bmp2,Bmpr2,Bmp2_Bmpr2
137,Bmp2,Eng,Bmp2_Eng
138,Bmp3,Acvr2b,Bmp3_Acvr2b
139,Bmp4,Bmpr1a,Bmp4_Bmpr1a
140,Bmp4,Bmpr1b,Bmp4_Bmpr1b
141,Bmp4,Bmpr2,Bmp4_Bmpr2
142,Bmp5,Bmpr1a,Bmp5_Bmpr1a
143,Bmp6,Acvr1,Bmp6_Acvr1
144,Bmp6,Acvr2a,Bmp6_Acvr2a
145,Bmp6,Bmpr1a,Bmp6_Bmpr1a
146,Bmp6,Bmpr1b,Bmp6_Bmpr1b
147,Bmp6,Bmpr2,Bmp6_Bmpr2
148,Bmp7,Acvr1,Bmp7_Acvr1
149,Bmp7,Acvr2a,Bmp7_Acvr2a
