ligand,receptor,
Tgfb1,TGFbR1_R2,Tgfb1_TGFbR1_R2
Tgfb2,TGFbR1_R2,Tgfb2_TGFbR1_R2
Tgfb3,TGFbR1_R2,Tgfb3_TGFbR1_R2
Tgfb1,ACVR1B_TGFbR2,Tgfb1_ACVR1B_TGFbR2
Tgfb1,ACVR1C_TGFbR2,Tgfb1_ACVR1C_TGFbR2
Tgfb2,ACVR1B_TGFbR2,Tgfb2_ACVR1B_TGFbR2
Tgfb2,ACVR1C_TGFbR2,Tgfb2_ACVR1C_TGFbR2
Tgfb3,ACVR1B_TGFbR2,Tgfb3_ACVR1B_TGFbR2
Tgfb3,ACVR1C_TGFbR2,Tgfb3_ACVR1C_TGFbR2
Tgfb1,ACVR1_TGFbR,Tgfb1_ACVR1_TGFbR
Tgfb2,ACVR1_TGFbR,Tgfb2_ACVR1_TGFbR
Tgfb3,ACVR1_TGFbR,Tgfb3_ACVR1_TGFbR
Bmp2,BMPR1A_ACVR2A,Bmp2_BMPR1A_ACVR2A
Bmp2,BMPR1A_ACVR2B,Bmp2_BMPR1A_ACVR2B
Bmp2,BMPR1A_BMPR2,Bmp2_BMPR1A_BMPR2
Bmp2,BMPR1B_ACVR2A,Bmp2_BMPR1B_ACVR2A
Bmp2,BMPR1B_ACVR2B,Bmp2_BMPR1B_ACVR2B
Bmp2,BMPR1B_BMPR2,Bmp2_BMPR1B_BMPR2
Bmp4,BMPR1A_ACVR2A,Bmp4_BMPR1A_ACVR2A
Bmp4,BMPR1A_ACVR2B,Bmp4_BMPR1A_ACVR2B
Bmp4,BMPR1A_BMPR2,Bmp4_BMPR1A_BMPR2
Bmp4,BMPR1B_ACVR2A,Bmp4_BMPR1B_ACVR2A
Bmp4,BMPR1B_ACVR2B,Bmp4_BMPR1B_ACVR2B
Bmp4,BMPR1B_BMPR2,Bmp4_BMPR1B_BMPR2
Gdf5,BMPR1A_ACVR2A,Gdf5_BMPR1A_ACVR2A
Gdf5,BMPR1A_ACVR2B,Gdf5_BMPR1A_ACVR2B
Gdf5,BMPR1A_BMPR2,Gdf5_BMPR1A_BMPR2
Gdf5,BMPR1B_ACVR2A,Gdf5_BMPR1B_ACVR2A
Gdf5,BMPR1B_ACVR2B,Gdf5_BMPR1B_ACVR2B
Gdf5,BMPR1B_BMPR2,Gdf5_BMPR1B_BMPR2
Gdf6,BMPR1A_ACVR2A,Gdf6_BMPR1A_ACVR2A
